,file_size,downloaded,last_accessed,entry_id,title,summary,authors
1902.04615,1707480,2020-12-20 12:22:00,2023-01-23 08:50:00,http://arxiv.org/abs/1902.04615v3,Gauge Equivariant Convolutional Networks and the Icosahedral CNN,"The principle of equivariance to symmetry transformations enables a theoretically grounded approach to neural network architecture design. Equivariant networks have shown excellent performance and data efficiency on vision and medical imaging problems that exhibit symmetries. Here we show how this principle can be extended beyond global symmetries to local gauge transformations. This enables the development of a very general class of convolutional neural networks on manifolds that depend only on the intrinsic geometry, and which includes many popular methods from equivariant and geometric deep learning. We implement gauge equivariant CNNs for signals defined on the surface of the icosahedron, which provides a reasonable approximation of the sphere. By choosing to work with this very regular manifold, we are able to implement the gauge equivariant convolution using a single conv2d call, making it a highly scalable and practical alternative to Spherical CNNs. Using this method, we demonstrate substantial improvements over previous methods on the task of segmenting omnidirectional images and global climate patterns.","Taco S. Cohen, Maurice Weiler, Berkay Kicanaoglu, Max Welling"
1706.05098,869440,2020-12-20 12:29:00,2023-01-23 08:50:00,http://arxiv.org/abs/1706.05098v1,An Overview of Multi-Task Learning in Deep Neural Networks,"Multi-task learning (MTL) has led to successes in many applications of machine learning, from natural language processing and speech recognition to computer vision and drug discovery. This article aims to give a general overview of MTL, particularly in deep neural networks. It introduces the two most common methods for MTL in Deep Learning, gives an overview of the literature, and discusses recent advances. In particular, it seeks to help ML practitioners apply MTL by shedding light on how MTL works and providing guidelines for choosing appropriate auxiliary tasks.",Sebastian Ruder
1506.08903,932621,2020-12-27 15:34:00,2023-01-23 08:50:00,http://arxiv.org/abs/1506.08903v7,A roadmap for the computation of persistent homology,"Persistent homology (PH) is a method used in topological data analysis (TDA) to study qualitative features of data that persist across multiple scales. It is robust to perturbations of input data, independent of dimensions and coordinates, and provides a compact representation of the qualitative features of the input. The computation of PH is an open area with numerous important and fascinating challenges. The field of PH computation is evolving rapidly, and new algorithms and software implementations are being updated and released at a rapid pace. The purposes of our article are to (1) introduce theory and computational methods for PH to a broad range of computational scientists and (2) provide benchmarks of state-of-the-art implementations for the computation of PH. We give a friendly introduction to PH, navigate the pipeline for the computation of PH with an eye towards applications, and use a range of synthetic and real-world data sets to evaluate currently available open-source implementations for the computation of PH. Based on our benchmarking, we indicate which algorithms and implementations are best suited to different types of data sets. In an accompanying tutorial, we provide guidelines for the computation of PH. We make publicly available all scripts that we wrote for the tutorial, and we make available the processed version of the data sets used in the benchmarking.","Nina Otter, Mason A. Porter, Ulrike Tillmann, Peter Grindrod, Heather A. Harrington"
1506.08903,932621,2020-12-27 15:34:00,2023-01-23 08:50:00,http://arxiv.org/abs/1506.08903v7,A roadmap for the computation of persistent homology,"Persistent homology (PH) is a method used in topological data analysis (TDA) to study qualitative features of data that persist across multiple scales. It is robust to perturbations of input data, independent of dimensions and coordinates, and provides a compact representation of the qualitative features of the input. The computation of PH is an open area with numerous important and fascinating challenges. The field of PH computation is evolving rapidly, and new algorithms and software implementations are being updated and released at a rapid pace. The purposes of our article are to (1) introduce theory and computational methods for PH to a broad range of computational scientists and (2) provide benchmarks of state-of-the-art implementations for the computation of PH. We give a friendly introduction to PH, navigate the pipeline for the computation of PH with an eye towards applications, and use a range of synthetic and real-world data sets to evaluate currently available open-source implementations for the computation of PH. Based on our benchmarking, we indicate which algorithms and implementations are best suited to different types of data sets. In an accompanying tutorial, we provide guidelines for the computation of PH. We make publicly available all scripts that we wrote for the tutorial, and we make available the processed version of the data sets used in the benchmarking.","Nina Otter, Mason A. Porter, Ulrike Tillmann, Peter Grindrod, Heather A. Harrington"
2010.03633,331718,2021-01-06 07:47:00,2023-01-23 08:50:00,http://arxiv.org/abs/2010.03633v2,Simplicial Neural Networks,"We present simplicial neural networks (SNNs), a generalization of graph neural networks to data that live on a class of topological spaces called simplicial complexes. These are natural multi-dimensional extensions of graphs that encode not only pairwise relationships but also higher-order interactions between vertices - allowing us to consider richer data, including vector fields and $n$-fold collaboration networks. We define an appropriate notion of convolution that we leverage to construct the desired convolutional neural networks. We test the SNNs on the task of imputing missing data on coauthorship complexes.","Stefania Ebli, Michaël Defferrard, Gard Spreemann"
2006.08806,576989,2021-01-28 06:32:00,2023-01-23 08:50:00,http://arxiv.org/abs/2006.08806v4,Liquidity Provider Returns in Geometric Mean Markets,"Geometric mean market makers (G3Ms), such as Uniswap and Balancer, comprise a popular class of automated market makers (AMMs) defined by the following rule: the reserves of the AMM before and after each trade must have the same (weighted) geometric mean. This paper extends several results known for constant-weight G3Ms to the general case of G3Ms with time-varying and potentially stochastic weights. These results include the returns and no-arbitrage prices of liquidity pool (LP) shares that investors receive for supplying liquidity to G3Ms. Using these expressions, we show how to create G3Ms whose LP shares replicate the payoffs of financial derivatives. The resulting hedges are model-independent and exact for derivative contracts whose payoff functions satisfy an elasticity constraint. These strategies allow LP shares to replicate various trading strategies and financial contracts, including standard options. G3Ms are thus shown to be capable of recreating a variety of active trading strategies through passive positions in LP shares.",Alex Evans
2012.08040,1416724,2021-01-28 06:38:00,2023-01-23 08:50:00,http://arxiv.org/abs/2012.08040v1,When does the tail wag the dog? Curvature and market making,"Liquidity and trading activity on constant function market makers (CFMMs) such as Uniswap, Curve, and Balancer has grown significantly in the second half of 2020. Much of the growth of these protocols has been driven by incentivized pools or 'yield farming', which reward participants in crypto assets for providing liquidity to CFMMs. As a result, CFMMs and associated protocols, which were historically very small markets, now constitute the most liquid trading venues for a large number of crypto assets. But what does it mean for a CFMM to be the most liquid market? In this paper, we propose a basic definition of price sensitivity and liquidity. We show that this definition is tightly related to the curvature of a CFMM's trading function and can be used to explain a number of heuristic results. For example, we show that low-curvature markets are good for coins whose market value is approximately fixed and that high-curvature markets are better for liquidity providers when traders have an informational edge. Additionally, the results can also be used to model interacting markets and explain the rise of incentivized liquidity provision, also known as 'yield farming.'","Guillermo Angeris, Alex Evans, Tarun Chitra"
2101.08344,4574426,2021-02-16 06:43:00,2023-01-23 08:51:00,http://arxiv.org/abs/2101.08344v1,Structured Time-Delay Models for Dynamical Systems with Connections to Frenet-Serret Frame,"Time-delay embeddings and dimensionality reduction are powerful techniques for discovering effective coordinate systems to represent the dynamics of physical systems. Recently, it has been shown that models identified by dynamic mode decomposition (DMD) on time-delay coordinates provide linear representations of strongly nonlinear systems, in the so-called Hankel alternative view of Koopman (HAVOK) approach. Curiously, the resulting linear model has a matrix representation that is approximately antisymmetric and tridiagonal with a zero diagonal; for chaotic systems, there is an additional forcing term in the last component. In this paper, we establish a new theoretical connection between HAVOK and the Frenet-Serret frame from differential geometry, and also develop an improved algorithm to identify more stable and accurate models from less data. In particular, we show that the sub- and super-diagonal entries of the linear model correspond to the intrinsic curvatures in Frenet-Serret frame. Based on this connection, we modify the algorithm to promote this antisymmetric structure, even in the noisy, low-data limit. We demonstrate this improved modeling procedure on data from several nonlinear synthetic and real-world examples.","Seth M. Hirsh, Sara M. Ichinaga, Steven L. Brunton, J. Nathan Kutz, Bingni W. Brunton"
2012.11551,8832701,2021-02-16 06:46:00,2023-01-23 08:50:00,http://arxiv.org/abs/2012.11551v1,AVAE: Adversarial Variational Auto Encoder,"Among the wide variety of image generative models, two models stand out: Variational Auto Encoders (VAE) and Generative Adversarial Networks (GAN). GANs can produce realistic images, but they suffer from mode collapse and do not provide simple ways to get the latent representation of an image. On the other hand, VAEs do not have these problems, but they often generate images less realistic than GANs. In this article, we explain that this lack of realism is partially due to a common underestimation of the natural image manifold dimensionality. To solve this issue we introduce a new framework that combines VAE and GAN in a novel and complementary way to produce an auto-encoding model that keeps VAEs properties while generating images of GAN-quality. We evaluate our approach both qualitatively and quantitatively on five image datasets.","Antoine Plumerault, Hervé Le Borgne, Céline Hudelot"
2101.03933,8378238,2021-02-16 06:47:00,2023-01-23 08:51:00,http://arxiv.org/abs/2101.03933v1,Variability in higher order structure of noise added to weighted networks,"From spiking activity in neuronal networks to force chains in granular materials, the behavior of many real-world systems depends on a network of both strong and weak interactions. These interactions give rise to complex and higher-order system behaviors, and are encoded using data as the network's edges. However, distinguishing between true weak edges and low-weight edges caused by noise remains a challenge. We address this problem by examining the higher-order structure of noisy, weak edges added to model networks. We find that the structure of low-weight, noisy edges varies according to the topology of the model network to which it is added. By investigating this variation more closely, we see that at least three qualitative classes of noise structure emerge. Furthermore, we observe that the structure of noisy edges contains enough model-specific information to classify the model networks with moderate accuracy. Finally, we offer network generation rules that can drive different types of structure in added noisy edges. Our results demonstrate that noise does not present as a monolithic nuisance, but rather as a nuanced, topology-dependent, and even useful entity in characterizing higher-order network interactions. Hence, we provide an alternate approach to noise management by embracing its role in such interactions.","Ann S. Blevins, Jason Z. Kim, Danielle S. Bassett"
1812.05944,3077936,2021-02-16 06:51:00,2023-01-23 08:50:00,http://arxiv.org/abs/1812.05944v3,"A Tutorial on Distance Metric Learning: Mathematical Foundations, Algorithms, Experimental Analysis, Prospects and Challenges (with Appendices on Mathematical Background and Detailed Algorithms Explanation)","Distance metric learning is a branch of machine learning that aims to learn distances from the data, which enhances the performance of similarity-based algorithms. This tutorial provides a theoretical background and foundations on this topic and a comprehensive experimental analysis of the most-known algorithms. We start by describing the distance metric learning problem and its main mathematical foundations, divided into three main blocks: convex analysis, matrix analysis and information theory. Then, we will describe a representative set of the most popular distance metric learning methods used in classification. All the algorithms studied in this paper will be evaluated with exhaustive testing in order to analyze their capabilities in standard classification problems, particularly considering dimensionality reduction and kernelization. The results, verified by Bayesian statistical tests, highlight a set of outstanding algorithms. Finally, we will discuss several potential future prospects and challenges in this field. This tutorial will serve as a starting point in the domain of distance metric learning from both a theoretical and practical perspective.","Juan Luis Suárez-Díaz, Salvador García, Francisco Herrera"
2012.02258,795687,2021-02-16 06:53:00,2023-01-23 08:50:00,http://arxiv.org/abs/2012.02258v1,WedgeChain: A Trusted Edge-Cloud Store With Asynchronous (Lazy) Trust,"We propose WedgeChain, a data store that spans both edge and cloud nodes (an edge-cloud system). WedgeChain consists of a logging layer and a data indexing layer. In this study, we encounter two challenges: (1) edge nodes are untrusted and potentially malicious, and (2) edge-cloud coordination is expensive. WedgeChain tackles these challenges by the following proposals: (1) Lazy (asynchronous) certification: where data is committed at the untrusted edge and then lazily certified at the cloud node. This lazy certification method takes advantage of the observation that an untrusted edge node is unlikely to act maliciously if it knows it will be detected (and punished) eventually. Our lazy certification method guarantees that malicious acts (i.e., lying) are eventually detected. (2) Data-free certification: our lazy certification method only needs to send digests of data to the cloud, instead of sending all data to the cloud, which enables saving network and cloud resources and reduce costs. (3) LSMerkle: we extend a trusted index (mLSM) to enable indexing data at the edge while utilizing lazy and data-free certification.",Faisal Nawab
2006.11156,1274539,2021-02-16 06:53:00,2023-01-23 08:50:00,http://arxiv.org/abs/2006.11156v1,Why Stake When You Can Borrow?,"As smart contract platforms autonomously manage billions of dollars of capital, quantifying the portfolio risk that investors engender in these systems is increasingly important. Recent work illustrates that Proof of Stake (PoS) is vulnerable to financial attacks arising from on-chain lending and has worse capital efficiency than Proof of Work (PoW) \cite{fanti_pos_econ}. Numerous methods for improving capital efficiency have been proposed that allow stakers to create fungible derivative claims on their staked assets. In this paper, we construct a unifying model for studying the security risks of these proposals. This model combines birth-death P\'olya processes and risk models adapted from the credit derivatives literature to assess token inequality and return profiles. We find that there is a sharp transition between 'safe' and 'unsafe' derivative usage. Surprisingly, we find that contrary to \cite{fanti2019compounding} there exist conditions where derivatives can \emph{reduce} concentration of wealth in these networks. This model also applies to Decentralized Finance (DeFi) protocols where staked assets are used as insurance. Our theoretical results are validated using agent-based simulation.","Tarun Chitra, Alex Evans"
2102.05242,2722195,2021-02-17 16:20:00,2023-01-23 08:51:00,http://arxiv.org/abs/2102.05242v2,"Patterns, predictions, and actions: A story about machine learning","This graduate textbook on machine learning tells a story of how patterns in data support predictions and consequential actions. Starting with the foundations of decision making, we cover representation, optimization, and generalization as the constituents of supervised learning. A chapter on datasets as benchmarks examines their histories and scientific bases. Self-contained introductions to causality, the practice of causal inference, sequential decision making, and reinforcement learning equip the reader with concepts and tools to reason about actions and their consequences. Throughout, the text discusses historical context and societal impact. We invite readers from all backgrounds; some experience with probability, calculus, and linear algebra suffices.","Moritz Hardt, Benjamin Recht"
2009.14021,3794695,2021-02-22 21:14:00,2023-01-23 08:50:00,http://arxiv.org/abs/2009.14021v1,High-Frequency Trading on Decentralized On-Chain Exchanges,"Decentralized exchanges (DEXs) allow parties to participate in financial markets while retaining full custody of their funds. However, the transparency of blockchain-based DEX in combination with the latency for transactions to be processed, makes market-manipulation feasible. For instance, adversaries could perform front-running -- the practice of exploiting (typically non-public) information that may change the price of an asset for financial gain. In this work we formalize, analytically exposit and empirically evaluate an augmented variant of front-running: sandwich attacks, which involve front- and back-running victim transactions on a blockchain-based DEX. We quantify the probability of an adversarial trader being able to undertake the attack, based on the relative positioning of a transaction within a blockchain block. We find that a single adversarial trader can earn a daily revenue of over several thousand USD when performing sandwich attacks on one particular DEX -- Uniswap, an exchange with over 5M USD daily trading volume by June 2020. In addition to a single-adversary game, we simulate the outcome of sandwich attacks under multiple competing adversaries, to account for the real-world trading environment.","Liyi Zhou, Kaihua Qin, Christof Ferreira Torres, Duc V Le, Arthur Gervais"
1805.08498,924127,2021-02-25 15:44:00,2023-01-23 08:50:00,http://arxiv.org/abs/1805.08498v4,Implicit Reparameterization Gradients,"By providing a simple and efficient way of computing low-variance gradients of continuous random variables, the reparameterization trick has become the technique of choice for training a variety of latent variable models. However, it is not applicable to a number of important continuous distributions. We introduce an alternative approach to computing reparameterization gradients based on implicit differentiation and demonstrate its broader applicability by applying it to Gamma, Beta, Dirichlet, and von Mises distributions, which cannot be used with the classic reparameterization trick. Our experiments show that the proposed approach is faster and more accurate than the existing gradient estimators for these distributions.","Michael Figurnov, Shakir Mohamed, Andriy Mnih"
1509.03264,434868,2021-03-01 07:46:00,2023-01-23 08:50:00,http://arxiv.org/abs/1509.03264v6,Can You hear the Shape of a Market? Geometric Arbitrage and Spectral Theory,"Geometric Arbitrage Theory reformulates a generic asset model possibly allowing for arbitrage by packaging all assets and their forwards dynamics into a stochastic principal fibre bundle, with a connection whose parallel transport encodes discounting and portfolio rebalancing, and whose curvature measures, in this geometric language, the 'instantaneous arbitrage capability' generated by the market itself. The cashflow bundle is the vector bundle associated to this stochastic principal fibre bundle for the natural choice of the vector space fibre. The cashflow bundle carries a stochastic covariant differentiation induced by the connection on the principal fibre bundle. The link between arbitrage theory and spectral theory of the connection Laplacian on the vector bundle is given by the zero eigenspace resulting in a parametrization of all risk neutral measures equivalent to the statistical one. This indicates that a market satisfies the (NFLVR) condition if and only if $0$ is in the discrete spectrum of the connection Laplacian on the cash flow bundle or of the Dirac Laplacian of the twisted cash flow bundle with the exterior algebra bundle. We apply this result by extending Jarrow-Protter-Shimbo theory of asset bubbles for complete arbitrage free markets to markets not satisfying the (NFLVR). Moreover, by means of the Atiyah-Singer index theorem, we prove that the Euler characteristic of the asset nominal space is a topological obstruction to the the (NFLVR) condition, and, by means of the Bochner-Weitzenb\""ock formula, the non vanishing of the homology group of the cash flow bundle is revealed to be a topological obstruction to (NFLVR), too. Asset bubbles are defined, classified and decomposed for markets allowing arbitrage.","Simone Farinelli, Hideyuki Takada"
2103.01507,3579232,2021-03-03 14:24:00,2023-01-23 08:51:00,http://arxiv.org/abs/2103.01507v1,Arnold Conjecture and Morava K-theory,"We prove that the rank of the cohomology of a closed symplectic manifold with coefficients in a field of characteristic $p$ is smaller than the number of periodic orbits of any non-degenerate Hamiltonian flow. Following Floer, the proof relies on constructing a homology group associated to each such flow, and comparing it with the homology of the ambient symplectic manifold. The proof does not proceed by constructing a version of Floer's complex with characteristic $p$ coefficients, but uses instead the canonical (stable) complex orientations of moduli spaces of Floer trajectories to construct a version of Floer homology with coefficients in Morava's $K$-theories, and can thus be seen as an implementation of Cohen, Jones, and Segal's vision for a Floer homotopy theory. The key feature of Morava K-theory that allows the construction to be carried out is the fact that the corresponding homology and cohomology groups of classifying spaces of finite groups satisfy Poincar\'e duality.","Mohammed Abouzaid, Andrew J. Blumberg"
0910.1671,684818,2021-03-14 16:54:00,2023-01-23 08:50:00,http://arxiv.org/abs/0910.1671v10,Geometric Arbitrage Theory and Market Dynamics Reloaded,We have embedded the classical theory of stochastic finance into a differential geometric framework called Geometric Arbitrage Theory and show that it is possible to:   --Write arbitrage as curvature of a principal fibre bundle.   --Parameterize arbitrage strategies by its holonomy.   --Give the Fundamental Theorem of Asset Pricing a differential homotopic characterization.   --Characterize Geometric Arbitrage Theory by five principles and show they they are consistent with the classical theory of stochastic finance.   --Derive for a closed market the equilibrium solution for market portfolio and dynamics in the cases where:   -->Arbitrage is allowed but minimized.   -->Arbitrage is not allowed.   --Prove that the no-free-lunch-with-vanishing-risk condition implies the zero curvature condition.,Simone Farinelli
2103.03212,2160626,2021-03-17 06:46:00,2023-01-23 08:51:00,http://arxiv.org/abs/2103.03212v2,Weisfeiler and Lehman Go Topological: Message Passing Simplicial Networks,"The pairwise interaction paradigm of graph machine learning has predominantly governed the modelling of relational systems. However, graphs alone cannot capture the multi-level interactions present in many complex systems and the expressive power of such schemes was proven to be limited. To overcome these limitations, we propose Message Passing Simplicial Networks (MPSNs), a class of models that perform message passing on simplicial complexes (SCs). To theoretically analyse the expressivity of our model we introduce a Simplicial Weisfeiler-Lehman (SWL) colouring procedure for distinguishing non-isomorphic SCs. We relate the power of SWL to the problem of distinguishing non-isomorphic graphs and show that SWL and MPSNs are strictly more powerful than the WL test and not less powerful than the 3-WL test. We deepen the analysis by comparing our model with traditional graph neural networks (GNNs) with ReLU activations in terms of the number of linear regions of the functions they can represent. We empirically support our theoretical claims by showing that MPSNs can distinguish challenging strongly regular graphs for which GNNs fail and, when equipped with orientation equivariant layers, they can improve classification accuracy in oriented SCs compared to a GNN baseline.","Cristian Bodnar, Fabrizio Frasca, Yu Guang Wang, Nina Otter, Guido Montúfar, Pietro Liò, Michael Bronstein"
